[EXPOSURE]
film=Fomapan 400
date=02.08.2020
DIN=24

[DEVELOPMENT]
developer=XTOL
dilution=1+1
time=14:53
aggitation=15/60/10
temperature=20.5°C

[DATA]
b+f=(0.335, 0.335, 0.335, 0.335, 0.340)
39=(0.360, 0.365, 0.370, 0.365, 0.370)
37.5=(0.400, 0.405, 0.395, 0.400, 0.400)
36=(0.430, 0.430, 0.435, 0.430, 0.435)
35=(0.435, 0.440, 0.435, 0.440, 0.450)
34=(0.515, 0.495, 0.510, 0.510, 0.500)
33=(0.500, 0.500, 0.515, 0.500, 0.510)
30=(0.695, 0.705, 0.685, 0.665, 0.715)
27=(1.050, 1.025, 1.035, 1.030, 1.050)
24=(1.245, 1.225, 1.225, 1.215, 1.235)
21=(1.390, 1.335, 1.415, 1.385, 1.420)
18=(1.495, 1.505, 1.510, 1.510, 1.520)
15=(1.725, 1.725, 1.730, 1.725, 1.740)
12=(1.810, 1.805, 1.805, 1.825, 1.825)
9=(1.855, 1.850, 1.870, 1.870, 1.890)
